Month,Monthly Australian imports from Japan
1965-07,27418
1965-08,30592
1965-09,23910
1965-10,25509
1965-11,27003
1965-12,20943
1966-01,25333
1966-02,17004
1966-03,20249
1966-04,21384
1966-05,19565
1966-06,21253
1966-07,23041
1966-08,23026
1966-09,23860
1966-10,22295
1966-11,27286
1966-12,23928
1967-01,29008
1967-02,18387
1967-03,26340
1967-04,21437
1967-05,27105
1967-06,30316
1967-07,22101
1967-08,34180
1967-09,32133
1967-10,29867
1967-11,27710
1967-12,25342
1968-01,29021
1968-02,28961
1968-03,27995
1968-04,29217
1968-05,28804
1968-06,27979
1968-07,32920
1968-08,33006
1968-09,33220
1968-10,37703
1968-11,38679
1968-12,30287
1969-01,39730
1969-02,32205
1969-03,31998
1969-04,30802
1969-05,33324
1969-06,40905
1969-07,37808
1969-08,38598
1969-09,43236
1969-10,42834
1969-11,44740
1969-12,34983
1970-01,41918
1970-02,39886
1970-03,31988
1970-04,38448
1970-05,41927
1970-06,44844
1970-07,44472
1970-08,47571
1970-09,48929
1970-10,44346
1970-11,48339
1970-12,43879
1971-01,48500
1971-02,39912
1971-03,50887
1971-04,53891
1971-05,50401
1971-06,52531
1971-07,59044
1971-08,54300
1971-09,36587
1971-10,61092
1971-11,60590
1971-12,57143
1972-01,50531
1972-02,52125
1972-03,50404
1972-04,50268
1972-05,38713
1972-06,37771
1972-07,43622
1972-08,76892
1972-09,51947
1972-10,60594
1972-11,70539
1972-12,47899
1973-01,60827
1973-02,75188
1973-03,54016
1973-04,58675
1973-05,78072
1973-06,65174
1973-07,73784
1973-08,74549
1973-09,77458
1973-10,91716
1973-11,91965
1973-12,60324
1974-01,105841
1974-02,87211
1974-03,88854
1974-04,98492
1974-05,121904
1974-06,113115
1974-07,138696
1974-08,143828
1974-09,125827
1974-10,163372
1974-11,135675
1974-12,109045
1975-01,111746
1975-02,81967
1975-03,85920
1975-04,98854
1975-05,113218
1975-06,112810
1975-07,113540
1975-08,124316
1975-09,121351
1975-10,137219
1975-11,126031
1975-12,121922
1976-01,146690
1976-02,121795
1976-03,149695
1976-04,134872
1976-05,146562
1976-06,165519
1976-07,159668
1976-08,181979
1976-09,165070
1976-10,196300
1976-11,204972
1976-12,152772
1977-01,177387
1977-02,178049
1977-03,197014
1977-04,188348
1977-05,173982
1977-06,184446
1977-07,187267
1977-08,183766
1977-09,176065
1977-10,175365
1977-11,188566
1977-12,140012
1978-01,167156
1978-02,143348
1978-03,189439
1978-04,182139
1978-05,185964
1978-06,193248
1978-07,227234
1978-08,214183
1978-09,206294
1978-10,258372
1978-11,232309
1978-12,169525
1979-01,210104
1979-02,169559
1979-03,198897
1979-04,160296
1979-05,190960
1979-06,191847
1979-07,183544
1979-08,219075
1979-09,161688
1979-10,228335
1979-11,221298
1979-12,167991
1980-01,257647
1980-02,230014
1980-03,197181
1980-04,214386
1980-05,214505
1980-06,230727
1980-07,245417
1980-08,258265
1980-09,284005
1980-10,321274
1980-11,265418
1980-12,310891
1981-01,382344
1981-02,303195
1981-03,355551
1981-04,313744
1981-05,343600
1981-06,315420
1981-07,365349
1981-08,353349
1981-09,338449
1981-10,351661
1981-11,412065
1981-12,326009
1982-01,349156
1982-02,332799
1982-03,477186
1982-04,334576
1982-05,470887
1982-06,415610
1982-07,407495
1982-08,380644
1982-09,471066
1982-10,428948
1982-11,433759
1982-12,290394
1983-01,297557
1983-02,300496
1983-03,366013
1983-04,359488
1983-05,361559
1983-06,413015
1983-07,492792
1983-08,458631
1983-09,408515
1983-10,445952
1983-11,468563
1983-12,370503
1984-01,431432
1984-02,406605
1984-03,438078
1984-04,384882
1984-05,553442
1984-06,506836
1984-07,560370
1984-08,519189
1984-09,458543
1984-10,620742
1984-11,521693
1984-12,436935
1985-01,534253
1985-02,491395
1985-03,624499
1985-04,537128
1985-05,680066
1985-06,582908
1985-07,763389
1985-08,655079
1985-09,631641
1985-10,783934
1985-11,660866
1985-12,756536
1986-01,741444
1986-02,657000
1986-03,628369
1986-04,693027
1986-05,625136
1986-06,650768
1986-07,747126
1986-08,694458
1986-09,738350
1986-10,705528
1986-11,501249
1986-12,599747
1987-01,629710
1987-02,624525
1987-03,652949
1987-04,590177
1987-05,531311
1987-06,729379
1987-07,718268
1987-08,547579
1987-09,622058
1987-10,665272
1987-11,661735
1987-12,621014
1988-01,574889
1988-02,677734
1988-03,717075
1988-04,653612
1988-05,690697
1988-06,665864
1988-07,830701
1988-08,789303
1988-09,617808
1988-10,805775
1988-11,909449
1988-12,599973
1989-01,955874
1989-02,799494
1989-03,876097
1989-04,823300
1989-05,900079
1989-06,860754
1989-07,923882
1989-08,1121084
1989-09,741757
1989-10,966066
1989-11,901978
1989-12,648659
1990-01,852732
1990-02,706036
1990-03,835792
1990-04,722489
1990-05,714262
1990-06,739459
1990-07,816834
1990-08,743082
1990-09,683375
1990-10,1006000
1990-11,866000
1990-12,644000
1991-01,703000
1991-02,699000
1991-03,713000
1991-04,688000
1991-05,672000
1991-06,600000
1991-07,847000
1991-08,697000
1991-09,687000
1991-10,973000
1991-11,796000
1991-12,658000
1992-01,709000
1992-02,798000
1992-03,820000
1992-04,776000
1992-05,699000
1992-06,828433
1992-07,942131
1992-08,792916
1992-09,864942
1992-10,982689
1992-11,948143
1992-12,874863
1993-01,735794
1993-02,854605
1993-03,1284216
1993-04,961585
1993-05,818379
1993-06,1079498
1993-07,1095091
1993-08,1008925
1993-09,967118
1993-10,1127715
